;Ano;Vinho_Qtd;Vinho_Valor_Dolar;Suco_Qtd;Suco_Valor_Dolar;Espumantes_Qtd;Espumantes_Valor_Dolar
0;1970;122317;36938;0;0;451;176
1;1971;278105;81465;1250;625;510;294
2;1972;379670;120347;118111;67759;2267;1002
3;1973;459234;168034;555327;373797;75879;50154
4;1974;346543;180058;461648;399319;8245;6687
5;1975;684133;267093;627765;406238;20163;14264
6;1976;753885;296169;396327;285814;6763;6674
7;1977;995181;476743;1241851;839734;21516;20019
8;1978;530345;297360;1838187;1763289;10342;12480
9;1979;4282625;2790154;2411430;2700660;2361;3039
10;1980;2805742;1700730;2809736;3303244;6746;9398
11;1981;742104;459285;2131173;2454509;68875;80681
12;1982;596404;377201;2581107;2782901;64897;103335
13;1983;650774;319645;2941379;2985121;588;1242
14;1984;706873;333911;3030490;2732655;2443;4984
15;1985;1297367;659401;4263383;3398976;7166;15589
16;1986;2487576;1585073;4751373;4334196;11179;13339
17;1987;1035783;838814;4535098;5675876;17110;21144
18;1988;2147307;1656919;4560825;5734422;12934;13688
19;1989;4387918;3940676;5472200;7889550;26064;52182
20;1990;3435142;3608887;6172065;9911579;1650;2092
21;1991;4276130;4256220;2989734;4641326;4061;6164
22;1992;7447947;7552148;9660662;11270500;25647;33545
23;1993;20207115;14847463;9363393;11340925;46459;94866
24;1994;14853936;12736154;6609657;8270755;48432;45502
25;1995;14591572;12570565;5075288;7218321;3340;7440
26;1996;14453140;14945091;5694954;7909134;17527;39273
27;1997;15241431;15759640;9875317;15896088;3780;7790
28;1998;7701251;5474434;6444641;12319690;2673;5614
29;1999;6687941;4020600;7733050;14992245;795719;328972
30;2000;6244137;3433202;8677903;13723908;260727;234655
31;2001;2647893;1309959;7891368;12346443;79727;139155
32;2002;2222687;1072931;6677223;10767030;45540;58385
33;2003;1360815;636028;5070746;7727014;72588;104227
34;2004;2787544;1523878;7328562;10544854;198645;236829
35;2005;3464555;2436858;7616942;10672960;110549;232129
36;2006;3388021;2548463;5481490;8339362;159145;283440
37;2007;3175738;3469149;6573930;12116301;48302;180011
38;2008;10324028;7045591;6604167;15132256;338390;502988
39;2009;25504186;8894943;5847114;12591742;89306;344783
40;2010;1269749;2577112;3093746;8035395;386481;1073636
41;2011;1206750;3573445;4339644;15358051;108417;556140
42;2012;5764721;5479413;2358433;7324621;167191;770979
43;2013;9143836;22707953;4053404;11882951;190364;831858
44;2014;2319155;7435958;4832006;12463167;406588;1868043
45;2015;1196182;2753856;2528592;5595168;124620;628317
46;2016;1782712;4406231;2118891;4703023;163401;667690
47;2017;2886146;7116014;2230169;6176637;239657;1105227
48;2018;3845308;7434961;1295668;2926424;338502;1137879
49;2019;3144443;5899697;1686264;3643396;680287;1774444
50;2020;4404962;6063056;1304859;2341954;767555;2127967
51;2021;7892826;9657278;3303812;5974870;931794;2580577
52;2022;6346476;9879179;4882918;9296410;918729;2773605
53;2023;5028631;8124151;5131761;11415473;491046;1874390
