Ano;Vinho_Qtd;Vinho_Valor_Dolar;Espumantes_Qtd;Espumantes_Valor_Dolar;Suco_Qtd;Suco_Valor_Dolar
1970;1433303;877760.0;36419;58202;0;0
1971;1370449;894190.0;44138;86288;325;841
1972;2675606;1861774.0;106780;150120;56;40
1973;4096469;3367540.0;137942;243915;3749;1443
1974;4223827;3685240.0;154861;402567;10949;3914
1975;4058878;3505024.0;107562;158864;3600;977
1976;5622224;4641636.0;58438;108561;3670;967
1977;6075546;5336965.0;85940;175828;0;0
1978;8312189;8546587.0;98254;296091;2790;2850
1979;9148425;10881394.0;102714;265645;49;64
1980;5537451;7473936.0;81787;170129;0;0
1981;3987059;5474504.0;76733;135078;0;0
1982;3809997;4681275.0;224414;238958;0;0
1983;3400358;3946581.0;259325;266431;0;0
1984;1912614;1975201.0;39000;69191;0;0
1985;4751079;5102064.0;66778;163951;0;0
1986;7261607;8582271.0;135906;265448;1575080;713219
1987;4553559;5882305.0;71115;214234;2453048;3676533
1988;6080001;8276070.0;105721;298977;224394;163985
1989;8850327;13796297.0;160023;615910;1904023;1342199
1990;7928149;15205995.0;196000;927185;1975689;1446706
1991;7915054;13921033.0;208825;903689;619824;594585
1992;6079922;10120242.0;108954;454603;11857;9999
1993;11790553;18339186.0;417680;1572231;14720;12762
1994;21244945;34702647.0;675704;2835428;188348;120020
1995;27865122;50258785.0;852588;3444444;1719649;1485456
1996;22338500;38510927.0;725514;3687748;1585236;1250102
1997;23728057;47443128.0;1204964;9332864;2940338;2576920
1998;22274391;53406478.0;1369923;11372691;2490795;2333673
1999;24651255;59297800.0;2015825;14764921;2147426;1967894
2000;27240830;61391485.0;1825747;11348544;2049989;1691494
2001;26334061;60171449.0;1959908;9302194;2807315;2397173
2002;22865359;47830699.0;2355493;9585785;27000;28350
2003;25691136;55713819.0;2511507;10993291;2245942;1000837
2004;35396911;74476173.0;3056341;13197100;870206;680659
2005;36952209;84497687.0;3431184;15048112;1009286;900542
2006;45645174;116996453.0;4522140;21188457;1809780;1572510
2007;55242499;153757583.0;3191482;18079173;1539427;1403186
2008;53488493;163597404.0;3437844;19862087;185319;226630
2009;55171754;174429298.0;3166593;19295820;42578;52498
2010;69515998;219897634.0;4234219;27615164;1187215;3210988
2011;71424499;258540024.0;4868857;32285024;185449;188105
2012;72865643;258966933.0;5237605;37278623;631573;660661
2013;66574107;251804670.0;4202170;34317582;1060171;751592
2014;75672618;286471030.0;4254948;33938850;72463;79971
2015;76253555;254794647.0;4042721;32632373;171447;197674
2016;86124051;255734402.0;3650479;20680197;268388;502145
2017;113320246;331455273.0;7353273;30395895;166856;205117
2018;107132277;337625355.0;9016946;28858272;118454;131632
2019;111387382;335811974.0;6014721;27140269;13299;18357
2020;143037763;392485468.0;4839599;18721500;28180;25418
2021;150897533;441652482.0;5238322;24485143;4590;4520
2022;144178363;422055389.0;6381462;27385469;29414;16781
2023;134804875;418908572.0;7238206;38327916;30463;17166
